name,visited,rating,href,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
Diamond Cafe,false,4.3 ,/biz/diamond-cafe-san-francisco?osq=Restaurants,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,37.75129,-122.436169
Taishoken San Francisco,false,4.5 ,/biz/taishoken-san-francisco-san-francisco?osq=Restaurants,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,4:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:30 PM,37.762219,-122.421506
Base Camp,false,4.6 ,/biz/base-camp-san-francisco?osq=Restaurants,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,37.758778,-122.414971
NOVY Restaurant,false,4.1 ,/biz/novy-restaurant-san-francisco-6?osq=Restaurants,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,37.751557,-122.43214
Outerlands,false,3.8 ,/biz/outerlands-san-francisco?osq=Restaurants,Closed,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,37.760281,-122.505024
Pistachio Kitchen,false,4.9 ,/biz/pistachio-kitchen-san-francisco?osq=Restaurants,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,37.788811,-122.423912
The Crew,false,3.9 ,/biz/the-crew-san-francisco-3?osq=Restaurants,5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 1:00 AM (Next day),5:00 PM - 1:00 AM (Next day),5:00 PM - 9:00 PM,37.754341,-122.478169
Teakwood,false,3.9 ,/biz/teakwood-san-francisco?osq=Restaurants,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,10:30 AM - 10:00 PM,10:30 AM - 9:00 PM,37.77769,-122.422927
Parada 22,false,4.2 ,/biz/parada-22-san-francisco?osq=Restaurants,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,37.769217,-122.452121
Brenda’s French Soul Food,false,4.2 ,/biz/brendas-french-soul-food-san-francisco-6?osq=Restaurants,8:00 AM - 8:00 PM,8:00 AM - 3:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,37.782915,-122.4189
Presidio Kebab,false,4.7 ,/biz/presidio-kebab-san-francisco?osq=Restaurants,11:00 AM - 8:30 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 8:30 PM,37.788073,-122.446807
Birch &amp; Rye,false,4.0 ,/biz/birch-and-rye-san-francisco-2?osq=Restaurants,Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,11:00 AM - 2:30 PM,37.750924,-122.434271
Souvla,false,4.2 ,/biz/souvla-san-francisco-3?osq=Restaurants,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,37.774509,-122.438032
Farmhouse Kitchen Thai Cuisine,false,4.1 ,/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=Restaurants,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:30 PM,37.760193,-122.411419
Sandy’s,false,4.8 ,/biz/sandys-san-francisco?osq=Restaurants,Closed,Closed,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,11:00 AM - 5:00 PM,37.769876,-122.446301
Om Sabor,false,4.7 ,/biz/om-sabor-san-francisco-2?osq=Restaurants,Closed,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,3:00 PM - 9:00 PM,37.778087,-122.42268
Cote Ouest Bistro,false,4.7 ,/biz/cote-ouest-bistro-san-francisco?osq=Restaurants,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,37.798338,-122.446091
Bodega,false,4.4 ,/biz/bodega-san-francisco-3?osq=Restaurants,11:00 AM - 3:00 PM,10:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,37.784838,-122.409302
DragonEats,false,4.4 ,/biz/dragoneats-san-francisco-7?osq=Restaurants,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 5:00 PM,37.769497,-122.450111
Rooftop 25,false,3.8 ,/biz/rooftop-25-san-francisco-2?osq=Restaurants,Closed,3:00 PM - 8:00 PM,3:00 PM - 8:00 PM,3:00 PM - 9:00 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,Closed,37.778567,-122.394383
Mamahuhu,false,4.0 ,/biz/mamahuhu-san-francisco-2?osq=Restaurants,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,37.782694,-122.464781
Anomaly SF,false,4.7 ,/biz/anomaly-sf-san-francisco-2?osq=Restaurants,Closed,7:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,6:00 PM - 11:00 PM,Closed,37.784945,-122.443377
